     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3936500 2463500  1  5  4 -10.5  997  63  1.4 0  1.5  86    0    0 181 -251  2
3936500 2463500  1  5  5 -11.4  997  40  0.5 0  1.4  85    0    0 180 -249  2
3936500 2463500  1  5  6 -12.4  998  23  0.8 0  1.4  88    0    0 178 -248  2
3936500 2463500  1  5  7 -13.7  998   2  1.1 0  1.3  94    0    0 175 -246  2
3936500 2463500  1  5  8 -12.9  998 307  1.2 1  1.3  94    0    0 177 -245  2
3936500 2463500  1  5  9 -12.1  999 240  2.6 1  1.4  93    5   10 182 -245  2
3936500 2463500  1  5 10  -9.9  999 202  2.7 1  1.5  89   77   28 184 -248  2
3936500 2463500  1  5 11  -8.1  999 190  2.6 1  1.6  83  148   45 189 -261  2
3936500 2463500  1  5 12  -6.6 1000 208  2.5 0  1.7  77  204   53 190 -274  2
3936500 2463500  1  5 13  -4.5  999 143  1.7 1  1.8  71  193   72 193 -279  2
3936500 2463500  1  5 14  -2.3  998 152  0.9 1  2.0  67  137   90 201 -282  2
3936500 2463500  1  5 15  -3.0  999 326  1.1 0  2.0  64  172   35 200 -281  2
3936500 2463500  1  5 16  -3.8  998 295  1.0 1  1.9  65   93   24 198 -275  2
3936500 2463500  1  5 17  -6.4  998 309  1.4 0  1.8  70    2   12 193 -265  2
3936500 2463500  1  5 18  -8.5  999 282  1.5 0  1.8  80    0    0 184 -255  2
3936500 2463500  1  5 19  -8.1  999 327  1.6 0  1.8  86    0    0 181 -251  2
3936500 2463500  1  5 20 -10.1  998 259  1.1 0  1.7  87    0    0 178 -249  2
3936500 2463500  1  5 21  -9.1  998 239  1.2 0  1.6  88    0    0 175 -250  2
3936500 2463500  1  5 22 -11.1  998 223  1.9 0  1.6  91    0    0 173 -260  2
3936500 2463500  1  5 23 -10.5  998 229  2.2 0  1.6  95    0    0 170 -270  2
3936500 2463500  1  5 24 -10.4  998 208  2.4 0  1.7  96    0    0 169 -271  2
3936500 2463500  1  6  1  -9.5  998 209  3.2 0  1.7  96    0    0 168 -271  2
3936500 2463500  1  6  2 -10.2  998 205  2.6 0  1.7  94    0    0 167 -266  2
3936500 2463500  1  6  3 -10.3  998 164  2.0 0  1.7  95    0    0 166 -261  2
3936500 2463500  1  6  4 -10.8  998 174  2.0 0  1.6  95    0    0 165 -263  2
3936500 2463500  1  6  5 -11.3  997 160  2.5 0  1.6  95    0    0 165 -265  2
3936500 2463500  1  6  6 -11.6  997 169  1.9 0  1.5  92    0    0 166 -261  2
3936500 2463500  1  6  7 -12.6  997 324  1.1 2  1.4  91    0    0 177 -254  2
3936500 2463500  1  6  8 -11.8  997 255  1.7 2  1.4  93    0    0 189 -249  2
3936500 2463500  1  6  9 -11.4  997 167  2.5 2  1.5  92    5   11 191 -250  2
3936500 2463500  1  6 10 -10.0  997 150  1.6 2  1.5  89   63   44 193 -261  2
3936500 2463500  1  6 11  -8.1  998 143  1.4 3  1.7  86  118   76 202 -274  2
3936500 2463500  1  6 12  -7.2  998 144  1.7 2  1.8  84  123  113 206 -280  2
3936500 2463500  1  6 13  -4.8  997 151  2.3 2  1.9  79  168  106 206 -285  2
3936500 2463500  1  6 14  -4.6  996 348  1.4 4  2.0  75  114  117 218 -287  2
3936500 2463500  1  6 15  -5.0  995 352  2.2 4  2.0  75   72   96 227 -289  2
3936500 2463500  1  6 16  -5.2  995 320  2.1 5  1.9  74   28   55 231 -290  2
3936500 2463500  1  6 17  -6.3  994  34  1.9 7  1.9  76    2   11 242 -290  2
3936500 2463500  1  6 18  -6.6  995 350  1.3 7  1.9  80    0    0 252 -293  2
3936500 2463500  1  6 19  -6.8  995 114  1.7 7  2.0  84    0    0 253 -297  2
3936500 2463500  1  6 20  -5.2  995 178  2.1 8  2.1  84    0    0 265 -299  2
3936500 2463500  1  6 21  -4.3  994 185  1.8 8  2.2  82    0    0 277 -299  2
3936500 2463500  1  6 22  -3.8  994 146  1.3 8  2.3  81    0    0 282 -300  2
3936500 2463500  1  6 23  -4.4  994  40  3.2 7  2.4  84    0    0 277 -300  2
3936500 2463500  1  6 24  -4.6  994 352  2.2 8  2.5  89    0    0 275 -302  2
3936500 2463500  1  7  1  -5.0  994 321  1.5 8  2.4  91    0    0 282 -303  2
3936500 2463500  1  7  2  -5.3  993 273  1.4 7  2.5  93    0    0 273 -303  2
3936500 2463500  1  7  3  -4.9  993 206  1.4 4  2.6  98    0    0 243 -304  2
3936500 2463500  1  7  4  -4.3  993  41  1.6 8  2.7 100    0    0 257 -304  2
3936500 2463500  1  7  5  -4.1  994 310  1.0 7  2.8 100    0    0 281 -304  2
3936500 2463500  1  7  6  -4.0  993  40  1.0 8  2.9 100    0    0 283 -304  2
3936500 2463500  1  7  7  -3.9  993 103  1.0 7  2.9 100    0    0 284 -305  2
3936500 2463500  1  7  8  -3.7  993  21  1.2 7  2.9 100    0    0 278 -305  2
3936500 2463500  1  7  9  -3.6  993  73  1.0 8  3.0 100    0    8 284 -305  2
3936500 2463500  1  7 10  -3.5  993  41  1.4 8  3.0 100    0   48 288 -307  2
3936500 2463500  1  7 11  -2.9  993 115  1.2 7  3.1 100    0   63 283 -311  2
3936500 2463500  1  7 12  -2.4  993  39  1.4 7  3.2 100    0   72 279 -316  2
3936500 2463500  1  7 13  -1.5  992  30  1.8 6  3.3  98    1  114 275 -318  2
3936500 2463500  1  7 14  -0.5  992  31  1.7 7  3.4  94    7  127 278 -319  2
3936500 2463500  1  7 15  -0.8  991  72  2.0 6  3.4  91   11  108 280 -319  2
3936500 2463500  1  7 16  -0.6  991   1  2.9 7  3.4  91    0   39 279 -317  2
3936500 2463500  1  7 17  -0.7  991 354  3.4 7  3.4  93    0    7 286 -315  2
3936500 2463500  1  7 18  -0.1  991  65  3.8 7  3.5  93    0    0 287 -313  2
3936500 2463500  1  7 19   0.1  991 103  4.8 8  3.5  90    0    0 294 -314  2
3936500 2463500  1  7 20   0.1  991  82  5.3 6  3.4  88    0    0 289 -314  2
